mirna,target_gene,target_ensemble_id,mirna_key,mirna_ensamble_id
rno-miR-26a-5p,Map2,ENSRNOG00000011841,26a,ENSRNOG00000035582
rno-miR-126a-5p,Cyp2a3,ENSRNOG00000068556,126a,ENSRNOG00000035591
rno-miR-15b-5p,Cdc25a,ENSRNOG00000020737,15b,ENSRNOG00000035483
rno-miR-135b-5p,Syt17,ENSRNOG00000017136,135b,ENSRNOG00000035621
rno-miR-21-5p,Pdcd4,ENSRNOG00000014779,21,ENSRNOG00000035480
rno-miR-221-3p,Cdkn1c,ENSRNOG00000059500,221,ENSRNOG00000035631
rno-miR-221-3p,Cdkn1b,ENSRNOG00000007249,221,ENSRNOG00000035631
rno-miR-222-3p,Cdkn1c,ENSRNOG00000059500,222,ENSRNOG00000035581
rno-miR-222-3p,Cdkn1b,ENSRNOG00000007249,222,ENSRNOG00000035581
rno-miR-27a-3p,Rxra,ENSRNOG00000009446,27a,ENSRNOG00000035597
rno-miR-27b-3p,Rxra,ENSRNOG00000009446,27b,ENSRNOG00000035576
rno-miR-133b-3p,Klf15,ENSRNOG00000017808,133b,ENSRNOG00000035571
rno-miR-133b-3p,Slc2a4,ENSRNOG00000017226,133b,ENSRNOG00000035571
rno-miR-126a-3p,Cyp2a3,ENSRNOG00000068556,126a,ENSRNOG00000035591
rno-miR-30a-5p,Tp53,ENSRNOG00000010756,30a,ENSRNOG00000035646
rno-miR-30b-5p,Tp53,ENSRNOG00000010756,30b,ENSRNOG00000053467
rno-miR-145-5p,Sod2,ENSRNOG00000019048,145,ENSRNOG00000035474
rno-miR-192-5p,Zeb2,ENSRNOG00000004677,192,ENSRNOG00000035530
rno-miR-34a-5p,E2f3,ENSRNOG00000029273,34a,ENSRNOG00000035623
rno-miR-34a-5p,Sirt1,ENSRNOG00000051592,34a,ENSRNOG00000035623
rno-miR-34a-5p,Mycn,ENSRNOG00000051372,34a,ENSRNOG00000035623
rno-miR-200b-3p,Zeb1,ENSRNOG00000017863,200b,ENSRNOG00000035508
rno-miR-200b-3p,Zeb2,ENSRNOG00000004677,200b,ENSRNOG00000035508
rno-miR-18a-5p,Myc,ENSRNOG00000004500,18a,ENSRNOG00000035645
rno-miR-18a-5p,Prmt5,ENSRNOG00000012046,18a,ENSRNOG00000035645
rno-miR-96-5p,Mitf,ENSRNOG00000008658,96,ENSRNOG00000035624
rno-miR-182,Mitf,ENSRNOG00000008658,182,ENSRNOG00000068116
rno-miR-21-5p,Pten,ENSRNOG00000020723,21,ENSRNOG00000035480
rno-miR-206-3p,Igf1,ENSRNOG00000004517,206,ENSRNOG00000035498
rno-miR-132-3p,Arhgap32,ENSRNOG00000008709,132,ENSRNOG00000035516
rno-miR-375-3p,Pdk1,ENSRNOG00000001517,375,ENSRNOG00000035455
rno-miR-34a-5p,Grm7,ENSRNOG00000005662,34a,ENSRNOG00000035623
rno-miR-140-3p,Dnm1,ENSRNOG00000033835,140,ENSRNOG00000035609
rno-miR-15b-5p,Bcl2,ENSRNOG00000067693,15b,ENSRNOG00000035483
rno-miR-16-5p,Bcl2,ENSRNOG00000067693,16,ENSRNOG00000035504
rno-miR-145-5p,Klf5,ENSRNOG00000008785,145,ENSRNOG00000035474
rno-miR-132-3p,Mecp2,ENSRNOG00000056659,132,ENSRNOG00000035516
rno-miR-34a-5p,Notch1,ENSRNOG00000019322,34a,ENSRNOG00000035623
rno-miR-127-3p,Bcl6,ENSRNOG00000001843,127,ENSRNOG00000036496
rno-miR-23a-3p,Trim63,ENSRNOG00000016543,23a,ENSRNOG00000035644
rno-miR-27a-3p,Trim63,ENSRNOG00000016543,27a,ENSRNOG00000035597
rno-miR-221-3p,Bcl2l11,ENSRNOG00000016551,221,ENSRNOG00000035631
rno-miR-222-3p,Bcl2l11,ENSRNOG00000016551,222,ENSRNOG00000035581
rno-miR-30a-5p,Acvr1,ENSRNOG00000005033,30a,ENSRNOG00000035646
rno-miR-30b-5p,Acvr1,ENSRNOG00000005033,30b,ENSRNOG00000053467
rno-miR-30e-5p,Acvr1,ENSRNOG00000005033,30e,ENSRNOG00000035640
